office,Name of UNICEF Implementing Partner,Province2,District,Palika,Rural/ Urban,Ward #,Community Name,UNICEF funding source,System new or rehabilated,Status,JMP service ladder - start,JMP service ladder - finish,# of HH's benefitted,# of schools benefitted,# of HCF's benefitted,Beneficiary population Male # (current),Beneficiary population female # (current),Beneficiary population person with disability # (current),Total Beneficiary population # (current),Team Formation,System analysis,Hazard mapping and risk analysis,Does the hazard mapping include climate change component,Preventive measures,Repair/rehabilitation/upgrade,Monitoring,Certification,Progress,WSP supporting activities,Consumer satisfaction,Documentation/reverification of plan,Remarks,Is the WSC solar powered?,Water Quality test carried out within last one year shows safe water?,Palikawide Water Quality monitoring mechanism established?,Water Available at HH premises?,Within 30 mins?,Is WSP implemented?,Provision of O & M fund available?,O & M SOP in place?,Has there been a flood or landslide during the past year?,"If there was a flood, was the scheme functionin?",Bank account of WUSC in place?,Caretaker in place?,Hygiene,Is the community declared water safe?,# of additional toilets built,People living in safely managed water safe community,Water Supply beneficiaries reporting year,WSC reporting year,Is the scheme functioning?,Estimated total cost (NPR)- Govt,Estimated total cost (NPR)- UNICEF,Estimated total cost (NPR)- community,Estimated total cost (NPR),Avegare per capita estimate,Actual total cost (NPR)- Govt2,Actual total cost (NPR)- UNICEF,Actual total cost (NPR)- community,Actual total cost (NPR),Avegare per capita actual,Column,helper function,checker
Bhairahawa,SHIVRAJ NAGARPALIKA NA KA - 2500237767,Lumbini,KAPILBASTU, Shivaraj ,Urban,9,Bhagwanpur,RR FUND (Non-Grant),Rehab,Completed,BASIC +,SAFELY MANAGED,150,1,1,382,398,NA,780,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not Completed,Yes,No,No, ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Not applicable,Yes,Yes,Basic,No,4,,2024,,Yes,19,96,23,115,96,19,96,23,138,0, ,,BhairahawaSHIVRAJ NAGARPALIKA NA KA - 2500237767LumbiniKAPILBASTU Shivaraj Urban9BhagwanpurRR FUND (Non-Grant)RehabCompletedBASIC +SAFELY MANAGED15011382398NA780YesYesYesYesYesYesNoNoNot CompletedYesNoNo NoYesYesYesYesNoYesYesNoNot applicableYesYesBasicNo42024Yes18.96495.78822.951114.75295.78818.96495.78822.951137.7030.176542307692308
Bhairahawa,SHIVRAJ NAGARPALIKA NA KA - 2500237767,Lumbini,KAPILBASTU, Shivaraj ,Urban,9,Bhokkar ,RR FUND (Non-Grant),Rehab,Completed,BASIC +,SAFELY MANAGED,65,NA,NA,166,172,NA,338,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not Completed,Yes,No,No, ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Not applicable,Yes,Yes,Basic,No,3,,2024,,Yes,8,42,10,50,42,8,42,10,60,0, ,,BhairahawaSHIVRAJ NAGARPALIKA NA KA - 2500237767LumbiniKAPILBASTU Shivaraj Urban9Bhokkar RR FUND (Non-Grant)RehabCompletedBASIC +SAFELY MANAGED65NANA166172NA338YesYesYesYesYesYesNoNoNot CompletedYesNoNo NoYesYesYesYesNoYesYesNoNot applicableYesYesBasicNo32024Yes8.21841.5089.94549.72641.5088.21841.5089.94559.6710.176541420118343
Bhairahawa,SHIVRAJ NAGARPALIKA NA KA - 2500237767,Lumbini,KAPILBASTU, Shivaraj ,Urban,9,Ramawadaha ,RR FUND (Non-Grant),Rehab,Completed,BASIC +,SAFELY MANAGED,240,1,NA,612,636,NA,1248,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not Completed,Yes,No,No, ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Not applicable,Yes,Yes,Basic,No,16,,2024,,Yes,30,153,37,184,153,30,153,37,220,0, ,,BhairahawaSHIVRAJ NAGARPALIKA NA KA - 2500237767LumbiniKAPILBASTU Shivaraj Urban9Ramawadaha RR FUND (Non-Grant)RehabCompletedBASIC +SAFELY MANAGED2401NA612636NA1248YesYesYesYesYesYesNoNoNot CompletedYesNoNo NoYesYesYesYesNoYesYesNoNot applicableYesYesBasicNo162024Yes30.343153.26236.721183.605153.26230.343153.26236.721220.3260.176543269230769
Bhairahawa,SHIVRAJ NAGARPALIKA NA KA - 2500237767,Lumbini,KAPILBASTU, Shivaraj ,Urban,9,Bijgauri,RR FUND (Non-Grant),Rehab,Completed,BASIC +,SAFELY MANAGED,150,1,NA,382,398,NA,780,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not Completed,Yes,No,No, ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Not applicable,Yes,Yes,Basic,No,5,,2024,,Yes,19,96,23,115,96,19,96,23,138,0, ,,BhairahawaSHIVRAJ NAGARPALIKA NA KA - 2500237767LumbiniKAPILBASTU Shivaraj Urban9BijgauriRR FUND (Non-Grant)RehabCompletedBASIC +SAFELY MANAGED1501NA382398NA780YesYesYesYesYesYesNoNoNot CompletedYesNoNo NoYesYesYesYesNoYesYesNoNot applicableYesYesBasicNo52024Yes18.96495.78822.951114.75295.78818.96495.78822.951137.7030.176542307692308
Bhairahawa,SHIVRAJ NAGARPALIKA NA KA - 2500237767,Lumbini,KAPILBASTU, Shivaraj ,Urban,9,Anchalpur,RR FUND (Non-Grant),Rehab,Completed,BASIC +,SAFELY MANAGED,120,NA,NA,306,318,NA,624,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not Completed,Yes,No,No, ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Not applicable,Yes,Yes,Basic,No,8,,2024,,Yes,15,77,18,92,77,15,77,18,110,0, ,,BhairahawaSHIVRAJ NAGARPALIKA NA KA - 2500237767LumbiniKAPILBASTU Shivaraj Urban9AnchalpurRR FUND (Non-Grant)RehabCompletedBASIC +SAFELY MANAGED120NANA306318NA624YesYesYesYesYesYesNoNoNot CompletedYesNoNo NoYesYesYesYesNoYesYesNoNot applicableYesYesBasicNo82024Yes15.17176.63118.3691.80276.63115.17176.63118.36110.1620.176541666666667
Bhairahawa,SHIVRAJ NAGARPALIKA NA KA - 2500237767,Lumbini,KAPILBASTU, Shivaraj ,Urban,9,Turantpur,RR FUND (Non-Grant),Rehab,Completed,BASIC +,SAFELY MANAGED,75,NA,NA,191,199,NA,390,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not Completed,Yes,No,No, ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Not applicable,Yes,Yes,Basic,No,2,,2024,,Yes,9,48,11,57,48,9,48,11,69,0, ,,BhairahawaSHIVRAJ NAGARPALIKA NA KA - 2500237767LumbiniKAPILBASTU Shivaraj Urban9TurantpurRR FUND (Non-Grant)RehabCompletedBASIC +SAFELY MANAGED75NANA191199NA390YesYesYesYesYesYesNoNoNot CompletedYesNoNo NoYesYesYesYesNoYesYesNoNot applicableYesYesBasicNo22024Yes9.48247.89411.47557.37647.8949.48247.89411.47568.8510.176541025641026
Bhairahawa,SHIVRAJ NAGARPALIKA NA KA - 2500237767,Lumbini,KAPILBASTU, Shivaraj ,Urban,9,10 No.,RR FUND (Non-Grant),Rehab,ongoing,BASIC +,,70,NA,NA,178,186,NA,364,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not Completed,Yes,No,No, ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Not applicable,Yes,Yes,Basic,No,9,No,2024,,Yes,9,45,11,54,45,9,45,11,64,0, ,,BhairahawaSHIVRAJ NAGARPALIKA NA KA - 2500237767LumbiniKAPILBASTU Shivaraj Urban910 No.RR FUND (Non-Grant)RehabongoingBASIC +70NANA178186NA364YesYesYesYesYesYesNoNoNot CompletedYesNoNo NoYesYesYesYesNoYesYesNoNot applicableYesYesBasicNo9No2024Yes8.8544.70110.7153.55144.7018.8544.70110.7164.2610.176541208791209
Bhairahawa,SHIVRAJ NAGARPALIKA NA KA - 2500237767,Lumbini,KAPILBASTU, Shivaraj ,Urban,9,Chamarbhujiya,RR FUND (Non-Grant),Rehab,ongoing,BASIC +,,95,NA,NA,242,252,NA,494,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not Completed,Yes,No,No, ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Not applicable,Yes,Yes,Basic,No,2,No,2024,,Yes,12,61,15,73,61,12,61,15,87,0, ,,BhairahawaSHIVRAJ NAGARPALIKA NA KA - 2500237767LumbiniKAPILBASTU Shivaraj Urban9ChamarbhujiyaRR FUND (Non-Grant)RehabongoingBASIC +95NANA242252NA494YesYesYesYesYesYesNoNoNot CompletedYesNoNo NoYesYesYesYesNoYesYesNoNot applicableYesYesBasicNo2No2024Yes12.01160.66614.53572.67760.66612.01160.66614.53587.2120.176542510121457
Bhairahawa,SHIVRAJ NAGARPALIKA NA KA - 2500237767,Lumbini,KAPILBASTU, Shivaraj ,Urban,9,Nayabasti,RR FUND (Non-Grant),Rehab,ongoing,BASIC +,,65,NA,NA,166,172,NA,338,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not Completed,Yes,No,No, ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Not applicable,Yes,Yes,Basic,No,0,No,2024,,Yes,8,42,10,50,42,8,42,10,60,0, ,,BhairahawaSHIVRAJ NAGARPALIKA NA KA - 2500237767LumbiniKAPILBASTU Shivaraj Urban9NayabastiRR FUND (Non-Grant)RehabongoingBASIC +65NANA166172NA338YesYesYesYesYesYesNoNoNot CompletedYesNoNo NoYesYesYesYesNoYesYesNoNot applicableYesYesBasicNo0No2024Yes8.21841.5089.94549.72641.5088.21841.5089.94559.6710.176541420118343
Bhairahawa,SHIVRAJ NAGARPALIKA NA KA - 2500237767,Lumbini,KAPILBASTU, Shivaraj ,Urban,9,Sundaridada,RR FUND (Non-Grant),Rehab,ongoing,BASIC +,,27,1,NA,69,72,NA,140,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not Completed,Yes,No,No, ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Not applicable,Yes,Yes,Basic,No,0,No,2024,,Yes,3,17,4,21,17,3,17,4,25,0, ,,BhairahawaSHIVRAJ NAGARPALIKA NA KA - 2500237767LumbiniKAPILBASTU Shivaraj Urban9SundaridadaRR FUND (Non-Grant)RehabongoingBASIC +271NA6972NA140YesYesYesYesYesYesNoNoNot CompletedYesNoNo NoYesYesYesYesNoYesYesNoNot applicableYesYesBasicNo0No2024Yes3.41417.2424.13120.65617.2423.41417.2424.13124.7870.17705
