office,Name of UNICEF Implementing Partner,Province2,District,Palika,Rural/ Urban,Ward #,Community Name,UNICEF funding source,System new or rehabilated,Status,JMP service ladder - start,JMP service ladder - finish,# of HH's benefitted,# of schools benefitted,# of HCF's benefitted,Beneficiary population Male # (current),Beneficiary population female # (current),Beneficiary population person with disability # (current),Total Beneficiary population # (current),Team Formation,System analysis,Hazard mapping and risk analysis,Does the hazard mapping include climate change component,Preventive measures,Repair/rehabilitation/upgrade,Monitoring,Certification,Progress,WSP supporting activities,Consumer satisfaction,Documentation/reverification of plan,Remarks,Is the WSC solar powered?,Water Quality test carried out within last one year shows safe water?,Palikawide Water Quality monitoring mechanism established?,Water Available at HH premises?,Within 30 mins?,Is WSP implemented?,Provision of O & M fund available?,O & M SOP in place?,Has there been a flood or landslide during the past year?,"If there was a flood, was the scheme functionin?",Bank account of WUSC in place?,Caretaker in place?,Hygiene,Is the community declared water safe?,# of additional toilets built,People living in safely managed water safe community,Water Supply beneficiaries reporting year,WSC reporting year,Is the scheme functioning?,Estimated total cost (NPR)- Govt,Estimated total cost (NPR)- UNICEF,Estimated total cost (NPR)- community,Estimated total cost (NPR),Avegare per capita estimate,Actual total cost (NPR)- Govt2,Actual total cost (NPR)- UNICEF,Actual total cost (NPR)- community,Actual total cost (NPR),Avegare per capita actual,Column,helper function,checker
Bhairahawa,SHIVRAJ NAGARPALIKA NA KA - 2500237767,Lumbini,KAPILBASTU, Shivaraj ,Urban,9,Baniyavar,RR FUND (Non-Grant),Rehab,ongoing,BASIC +,,180,1,NA,459,477,NA,936,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not Completed,Yes,No,No, ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Not applicable,Yes,Yes,Basic,No,7,No,2024,,Yes,23,115,28,138,115,23,115,28,165,0, ,,BhairahawaSHIVRAJ NAGARPALIKA NA KA - 2500237767LumbiniKAPILBASTU Shivaraj Urban9BaniyavarRR FUND (Non-Grant)RehabongoingBASIC +1801NA459477NA936YesYesYesYesYesYesNoNoNot CompletedYesNoNo NoYesYesYesYesNoYesYesNoNot applicableYesYesBasicNo7No2024Yes22.757114.94627.541137.703114.94622.757114.94627.541165.2440.176542735042735
Bhairahawa,SHIVRAJ NAGARPALIKA NA KA - 2500237767,Lumbini,KAPILBASTU, Shivaraj ,Urban,9,Dhankhola,RR FUND (Non-Grant),Rehab,ongoing,BASIC +,,90,1,1,229,239,NA,468,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not Completed,Yes,No,No, ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Not applicable,Yes,Yes,Basic,No,24,No,2024,,Yes,11,57,14,69,57,11,57,14,83,0, ,,BhairahawaSHIVRAJ NAGARPALIKA NA KA - 2500237767LumbiniKAPILBASTU Shivaraj Urban9DhankholaRR FUND (Non-Grant)RehabongoingBASIC +9011229239NA468YesYesYesYesYesYesNoNoNot CompletedYesNoNo NoYesYesYesYesNoYesYesNoNot applicableYesYesBasicNo24No2024Yes11.37957.47313.7768.85257.47311.37957.47313.7782.6220.176542735042735
Bhairahawa,SHIVRAJ NAGARPALIKA NA KA - 2500237767,Lumbini,KAPILBASTU, Shivaraj ,Urban,9,Shivgadhi ,RR FUND (Non-Grant),Rehab,ongoing,BASIC +,,45, ,NA,122,112,NA,234,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not Completed,Yes,No,No, ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Not applicable,Yes,Yes,Basic,No,4,No,2024,,Yes,6,29,7,34,29,6,29,7,41,0, ,,BhairahawaSHIVRAJ NAGARPALIKA NA KA - 2500237767LumbiniKAPILBASTU Shivaraj Urban9Shivgadhi RR FUND (Non-Grant)RehabongoingBASIC +45 NA122112NA234YesYesYesYesYesYesNoNoNot CompletedYesNoNo NoYesYesYesYesNoYesYesNoNot applicableYesYesBasicNo4No2024Yes5.68928.7376.88534.42628.7375.68928.7376.88541.3110.176542735042735
Bhairahawa,SHIVRAJ NAGARPALIKA NA KA - 2500237767,Lumbini,KAPILBASTU, Shivaraj ,Urban,9,Majhgawa,RR FUND (Non-Grant),Rehab,Ongoing,BASIC +,SAFELY MANAGED,104, ,NA,318,306,NA,624,No,No,No,No,No,No,No,No,Not Completed,Yes,No,No, ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Not applicable,Yes,Yes,Basic,No,70,No,2025,2025,Yes,25000,505100,525000,530100,77,25000,505100,525000,1055100,1691, ,17985.62388,BhairahawaSHIVRAJ NAGARPALIKA NA KA - 2500237767LumbiniKAPILBASTU Shivaraj Urban9MajhgawaRR FUND (Non-Grant)RehabOngoingBASIC +SAFELY MANAGED104 NA318306NA624NoNoNoNoNoNoNoNoNot CompletedYesNoNo NoYesYesYesYesNoYesYesNoNot applicableYesYesBasicNo70No20252025Yes2500050510052500053010076.6312500050510052500010551001690.86538461538
Bhairahawa,SHIVRAJ NAGARPALIKA NA KA - 2500237767,Lumbini,KAPILBASTU, Shivaraj ,Urban,9,Dharamnagar,RR FUND (Non-Grant),Rehab,Ongoing,BASIC +,SAFELY MANAGED,78,1,NA,239,229,NA,468,No,No,No,No,No,No,No,No,Not Completed,Yes,No,No, ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Not applicable,Yes,Yes,Basic,No,51,No,2025,2025,Yes,25000,505100,525000,530100,57,25000,505100,525000,1055100,2254, ,17985.62388,BhairahawaSHIVRAJ NAGARPALIKA NA KA - 2500237767LumbiniKAPILBASTU Shivaraj Urban9DharamnagarRR FUND (Non-Grant)RehabOngoingBASIC +SAFELY MANAGED781NA239229NA468NoNoNoNoNoNoNoNoNot CompletedYesNoNo NoYesYesYesYesNoYesYesNoNot applicableYesYesBasicNo51No20252025Yes2500050510052500053010057.4732500050510052500010551002254.48717948718
Bhairahawa,ROLPA MUNICIPALITY - 2500237420,Lumbini,ROLPA, Rolpa ,Rural,3,Aarudhara,RR FUND (Non-Grant),Rehab,Completed,BASIC +,SAFELY MANAGED,62,1,1,168,155,NA,323,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Completed,Yes,Yes,Yes, ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Not applicable,Yes,Yes,Basic,Yes,3,Safely Managed Water,2024,2025,Yes,"NPR 16,558","NPR 54,326","NPR 14,177",#VALUE!,54,"NPR 16,558","NPR 54,326","NPR 14,177",#VALUE!,#VALUE!, ,17985.62388,#VALUE!
Bhairahawa,ROLPA MUNICIPALITY - 2500237420,Lumbini,ROLPA, Rolpa ,Rural,3,Gothmare,RR FUND (Non-Grant),Rehab,Completed,BASIC +,SAFELY MANAGED,55,0,NA,149,137,NA,286,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Completed,Yes,Yes,Yes, ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Not applicable,Yes,Yes,Basic,Yes,0,Safely Managed Water,2024,2025,Yes,"NPR 14,662","NPR 48,103","NPR 12,553",#VALUE!,48,"NPR 14,662","NPR 48,103","NPR 12,553",#VALUE!,#VALUE!, ,17985.62388,#VALUE!
Bhairahawa,ROLPA MUNICIPALITY - 2500237420,Lumbini,ROLPA, Rolpa ,Rural,3,Thapadera WSUC,RR FUND (Non-Grant),Rehab,Completed,BASIC +,SAFELY MANAGED,60,0,NA,162,150,NA,312,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Completed,Yes,Yes,Yes, ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Not applicable,Yes,Yes,Basic,Yes,0,Safely Managed Water,2024,2025,Yes,"NPR 15,995","NPR 52,476","NPR 13,694",#VALUE!,52,"NPR 15,995","NPR 52,476","NPR 13,694",#VALUE!,#VALUE!, ,17985.62388,#VALUE!
Bhairahawa,ROLPA MUNICIPALITY - 2500237420,Lumbini,ROLPA, Rolpa ,Rural,3,Bramhathan,RR FUND (Non-Grant),Rehab,Completed,BASIC +,SAFELY MANAGED,69,0,NA,187,172,NA,359,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Completed,Yes,Yes,Yes, ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Not applicable,Yes,Yes,Basic,Yes,0,Safely Managed Water,2024,2025,Yes,"NPR 18,404","NPR 60,381","NPR 15,757",#VALUE!,60,"NPR 18,404","NPR 60,381","NPR 15,757",#VALUE!,#VALUE!, ,17985.62388,#VALUE!
Bhairahawa,ROLPA MUNICIPALITY - 2500237420,Lumbini,ROLPA, Rolpa ,Rural,3,Satdobato,RR FUND (Non-Grant),Rehab,Completed,BASIC +,SAFELY MANAGED,120,0,NA,345,328,NA,673,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Completed,Yes,Yes,Yes, ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Not applicable,Yes,Yes,Basic,Yes,0,Safely Managed Water,2024,2025,Yes,"NPR 34,501","NPR 113,193","NPR 29,539",#VALUE!,113,"NPR 34,501","NPR 113,193","NPR 29,539",#VALUE!,#VALUE!, ,17985.62388,#VALUE!
Bhairahawa,ROLPA MUNICIPALITY - 2500237420,Lumbini,ROLPA, Rolpa ,Rural,3,Kunepani,RR FUND (Non-Grant),Rehab,Completed,BASIC +,SAFELY MANAGED,78,0,NA,211,195,NA,406,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Completed,Yes,Yes,Yes, ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Not applicable,Yes,Yes,Basic,Yes,0,Safely Managed Water,2024,2025,Yes,"NPR 20,813","NPR 68,286","NPR 17,820",#VALUE!,68,"NPR 20,813","NPR 68,286","NPR 17,820",#VALUE!,#VALUE!, ,17985.62388,#VALUE!
Bhairahawa,ROLPA MUNICIPALITY - 2500237420,Lumbini,ROLPA, Rolpa ,Rural,3,Pruanopani,RR FUND (Non-Grant),Rehab,Completed,BASIC +,SAFELY MANAGED,62,0,NA,168,155,NA,323,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Completed,Yes,Yes,Yes, ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Not applicable,Yes,Yes,Basic,Yes,0,Safely Managed Water,2024,2025,Yes,"NPR 16,558","NPR 54,326","NPR 14,177",#VALUE!,54,"NPR 16,558","NPR 54,326","NPR 14,177",#VALUE!,#VALUE!, ,17985.62388,#VALUE!
Bhairahawa,ROLPA MUNICIPALITY - 2500237420,Lumbini,ROLPA, Rolpa ,Rural,3,Jugepani,RR FUND (Non-Grant),Rehab,Completed,BASIC +,SAFELY MANAGED,47,0,NA,127,117,NA,244,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Completed,Yes,Yes,Yes, ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Not applicable,Yes,Yes,Basic,Yes,0,Safely Managed Water,2024,2025,Yes,"NPR 12,509","NPR 41,039","NPR 10,709",#VALUE!,41,"NPR 12,509","NPR 41,039","NPR 10,709",#VALUE!,#VALUE!, ,17985.62388,#VALUE!
Bhairahawa,ROLPA MUNICIPALITY - 2500237420,Lumbini,ROLPA, Rolpa ,Rural,1,Bhaisigaire,RR FUND (Non-Grant),Rehab,completed,BASIC +,SAFELY MANAGED,14, ,NA,34,36,NA,70,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Completed,Yes,No,No, ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Not applicable,Yes,Yes,Basic,No,0,Yes,2025,2025,Yes,"NPR 20,000.00","NPR 85,000","NPR 15,000.00",#VALUE!,15896,"NPR 20,000.00","NPR 85,000","NPR 15,000.00",26.64,0, ,17985.62388,#VALUE!
Bhairahawa,ROLPA MUNICIPALITY - 2500237420,Lumbini,ROLPA, Rolpa ,Rural,1,Mebhang,RR FUND (Non-Grant),Rehab,completed,BASIC +,SAFELY MANAGED,88, ,NA,216,224,NA,440,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Completed,Yes,No,No, ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Not applicable,Yes,Yes,Basic,No,0,Yes,2025,2025,Yes,"NPR 20,000.00","NPR 80,000","NPR 15,000.00",#VALUE!,2529,"NPR 20,000.00","NPR 80,000","NPR 15,000.00",167.42,0, ,17985.62388,#VALUE!
Bhairahawa,ROLPA MUNICIPALITY - 2500237420,Lumbini,ROLPA, Rolpa ,Rural,1,Pahana,RR FUND (Non-Grant),Rehab,completed,BASIC +,SAFELY MANAGED,34, ,NA,83,87,NA,170,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Completed,Yes,No,No, ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Not applicable,Yes,Yes,Basic,No,0,Yes,2025,2025,Yes,"NPR 20,000.00","NPR 75,000","NPR 15,000.00",#VALUE!,6546,"NPR 20,000.00","NPR 75,000","NPR 15,000.00",64.69,0, ,17985.62388,#VALUE!
Bhairahawa,ROLPA MUNICIPALITY - 2500237420,Lumbini,ROLPA, Rolpa ,Rural,1,Kalopani,RR FUND (Non-Grant),Rehab,completed,BASIC +,SAFELY MANAGED,19, ,NA,47,48,NA,95,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Completed,Yes,No,No, ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Not applicable,Yes,Yes,Basic,No,0,Yes,2025,2025,Yes,"NPR 20,000.00","NPR 95,000","NPR 15,000.00",#VALUE!,11713,"NPR 20,000.00","NPR 95,000","NPR 15,000.00",36.15,0, ,17985.62388,#VALUE!
Bhairahawa,ROLPA MUNICIPALITY - 2500237420,Lumbini,ROLPA, Rolpa ,Rural,1,Khewose,RR FUND (Non-Grant),Rehab,completed,BASIC +,SAFELY MANAGED,197,1,1,483,502,NA,985,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Completed,Yes,No,No, ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Not applicable,Yes,Yes,Basic,No,0,Yes,2025,2025,Yes,"NPR 20,000.00","NPR 70,000","NPR 15,000.00",#VALUE!,1130,"NPR 20,000.00","NPR 70,000","NPR 15,000.00",374.8,0, ,17985.62388,#VALUE!
Bhairahawa,ROLPA MUNICIPALITY - 2500237420,Lumbini,ROLPA, Rolpa ,Rural,1,Dharapani,RR FUND (Non-Grant),Rehab,completed,BASIC +,SAFELY MANAGED,95, ,NA,233,242,NA,475,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Completed,Yes,No,No, ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Not applicable,Yes,Yes,Basic,No,0,Yes,2025,2025,Yes,"NPR 20,000.00","NPR 75,000","NPR 15,000.00",#VALUE!,2343,"NPR 20,000.00","NPR 75,000","NPR 15,000.00",180.74,0, ,17985.62388,#VALUE!
Bhairahawa,ROLPA MUNICIPALITY - 2500237420,Lumbini,ROLPA, Rolpa ,Rural,1,Pedikhola,RR FUND (Non-Grant),Rehab,completed,BASIC +,SAFELY MANAGED,26, ,NA,64,66,NA,130,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Completed,Yes,No,No, ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Not applicable,Yes,Yes,Basic,No,0,Yes,2025,2025,Yes,"NPR 20,000.00","NPR 85,000","NPR 15,000.00",#VALUE!,8560,"NPR 20,000.00","NPR 85,000","NPR 15,000.00",49.47,0, ,17985.62388,#VALUE!
Bhairahawa,ROLPA MUNICIPALITY - 2500237420,Lumbini,ROLPA, Rolpa ,Rural,1,Bajbisauna,RR FUND (Non-Grant),Rehab,completed,BASIC +,SAFELY MANAGED,27, ,NA,66,69,NA,135,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Completed,Yes,No,No, ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Not applicable,Yes,Yes,Basic,No,0,Yes,2025,2025,Yes,"NPR 20,000.00","NPR 65,000","NPR 15,000.00",#VALUE!,8243,"NPR 20,000.00","NPR 65,000","NPR 15,000.00",51.37,0, ,17985.62388,#VALUE!
Bhairahawa,ROLPA MUNICIPALITY - 2500237420,Lumbini,ROLPA, Rolpa ,Rural,1,Bamruk,RR FUND (Non-Grant),Rehab,completed,BASIC +,SAFELY MANAGED,97,1,NA,238,247,NA,485,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Completed,Yes,No,No, ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Not applicable,Yes,Yes,Basic,No,0,Yes,2025,2025,Yes,"NPR 20,000.00","NPR 75,000","NPR 15,000.00",#VALUE!,2294,"NPR 20,000.00","NPR 75,000","NPR 15,000.00",184.55,0, ,17985.62388,#VALUE!
Bhairahawa,ROLPA MUNICIPALITY - 2500237420,Lumbini,ROLPA, Rolpa ,Rural,1,Sallibot,RR FUND (Non-Grant),Rehab,completed,BASIC +,SAFELY MANAGED,67, ,NA,164,171,NA,335,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Completed,Yes,No,No, ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Not applicable,Yes,Yes,Basic,No,0,Yes,2025,2025,Yes,"NPR 20,000.00","NPR 95,000","NPR 15,000.00",#VALUE!,3322,"NPR 20,000.00","NPR 95,000","NPR 15,000.00",127.47,0, ,17985.62388,#VALUE!
Bhairahawa,ROLPA MUNICIPALITY - 2500237420,Lumbini,ROLPA, Rolpa ,Rural,1,Sano Libang,RR FUND (Non-Grant),Rehab,completed,BASIC +,SAFELY MANAGED,58, ,NA,142,148,NA,290,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Completed,Yes,No,No, ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Not applicable,Yes,Yes,Basic,No,0,Yes,2025,2025,Yes,"NPR 20,000.00","NPR 105,000","NPR 15,000.00",#VALUE!,3837,"NPR 20,000.00","NPR 105,000","NPR 15,000.00",110.35,0, ,17985.62388,#VALUE!
Bhairahawa,ROLPA MUNICIPALITY - 2500237420,Lumbini,ROLPA, Rolpa ,Rural,1,Harikatana,RR FUND (Non-Grant),Rehab,completed,BASIC +,SAFELY MANAGED,106,1,NA,260,270,NA,530,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Completed,Yes,No,No, ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Not applicable,Yes,Yes,Basic,No,0,Yes,2025,2025,Yes,"NPR 20,000.00","NPR 95,000","NPR 15,000.00",#VALUE!,2100,"NPR 20,000.00","NPR 95,000","NPR 15,000.00",201.67,0, ,17985.62388,#VALUE!
Surkhet,KHADACHAKRA NAGARPALIKA NA KA PA OF - 2500237510,Karnali,KALIKOT,Khadachakra Mun,Urban,4,Badrigau,Thematic Fund,Rehab,Completed,UNIMPROVED,Basic+,86,0,NA,241,258,5,499,Yes,Yes,Yes,Yes,Yes,Yes,yes,yes,Completed,yes,Yes,Yes, ,No,Yes,Yes,Yes,Yes,Yes,yes,Yes,No,Flood did not impact WSC,Yes,Yes,Basic,NO,0,No,2025,NA,yes,300000,500000,100000,900000,2,300,500,100,900,2, ,,SurkhetKHADACHAKRA NAGARPALIKA NA KA PA OF - 2500237510KarnaliKALIKOTKhadachakra MunUrban4BadrigauThematic FundRehabCompletedUNIMPROVEDBasic+860NA2412585499YesYesYesYesYesYesyesyesCompletedyesYesYes NoYesYesYesYesYesyesYesNoFlood did not impact WSCYesYesBasicNO0No2025NAyes3000005000001000009000001.8043005001009001.804
Surkhet,SOSEC,Karnali,DAILEKH,Naryan,Urban,11,Kanda,Thematic Fund,Rehab,Completed,UNIMPROVED,Basic+,60,0,NA,168,180,3,348,Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Completed,yes,Yes,Yes, ,no,Yes,Yes,Yes,Yes,Yes,yes,Yes,No,Flood did not impact WSC,Yes,Yes,Basic,NO,0,No,2025,NA,yes,0,457195,106487,563682, ,-,"3,571,953","1,064,877", , , ,,"SurkhetSOSECKarnaliDAILEKHNaryanUrban11KandaThematic FundRehabCompletedUNIMPROVEDBasic+600NA1681803348YesYesYesYesYesYesyesYesCompletedyesYesYes noYesYesYesYesYesyesYesNoFlood did not impact WSCYesYesBasicNO0No2025NAyes0457195106487563682 -3,571,9531,064,877  "
Surkhet,SOSEC,Karnali,SURKHET,Chaukune,Rural,10,Kumala,Thematic Fund and Girls matter,Reconstruction,Completed,UNIMPROVED,SAFELY MANAGED,72,1,NA,240,234,2,474,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Completed,yes,Yes,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Flood did not impact WSC,Yes,Yes,Basic,Yes,15,Yes,,2025,yes,1784436,1226112,542104,3552652,,1784436,1226112,542104,3552652, , ,17985.62388,SurkhetSOSECKarnaliSURKHETChaukuneRural10KumalaThematic Fund and Girls matterReconstructionCompletedUNIMPROVEDSAFELY MANAGED721NA2402342474YesYesYesYesYesYesYesYesCompletedyesYesYes YesYesYesYesYesYesYesYesNoFlood did not impact WSCYesYesBasicYes15Yes2025yes178443612261125421043552652178443612261125421043552652 
Surkhet,SOSEC,Karnali,SURKHET,Chaukune,Rural,2,Dammu,Girls matter,New,Completed,UNIMPROVED,SAFELY MANAGED,34,1,NA,102,102,1,204,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Completed,yes,Yes,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Flood did not impact WSC,Yes,Yes,Basic,Yes,8,Yes,,2025,yes,1300524,543844,239436,2083804, ,1300524,543844,239436,2083804, , ,17985.62388,SurkhetSOSECKarnaliSURKHETChaukuneRural2DammuGirls matterNewCompletedUNIMPROVEDSAFELY MANAGED341NA1021021204YesYesYesYesYesYesYesYesCompletedyesYesYes YesYesYesYesYesYesYesYesNoFlood did not impact WSCYesYesBasicYes8Yes2025yes13005245438442394362083804 13005245438442394362083804 
Surkhet,SOSEC,Karnali,SURKHET,Chaukune,Rural,2,Lagam,Girls matter,Repair,Completed,UNIMPROVED,Basic+,112,1,NA,273,290,7,563,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Not Completed,yes,Yes,Yes,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Flood did not impact WSC,Yes,yes,Basic,No,0,No,2025,NA,yes,300000,500000,100000,900000,,300000,500000,100000,900000,,,,
Surkhet,SoSEC,Karnali,Dailekh ,Dullu ,Urban,9,Paduka,German natcom,Rehab,Completed,Basic,SAFELY MANAGED,209,4,NA,523,564,11,1087,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Completed,yes,Yes,Yes, , ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Flood did not impact WSC,Yes,Yes,Basic,Yes,5,Yes,,2025,yes,382959,1784774,511437,2679170,500,382959,1784774,511437,2679170, , ,17985.62388,SurkhetSoSECKarnaliDailekh Dullu Urban9PadukaGerman natcomRehabCompletedBasicSAFELY MANAGED2094NA523564111087YesYesYesYesYesYesYesYesCompletedyesYesYes  YesYesYesYesYesYesYesYesFlood did not impact WSCYesYesBasicYes5Yes2025yes3829591784774511437267917050038295917847745114372679170 
Surkhet,SoSEC,Karnali,Dailekh ,Dullu ,Urban,4,Shantibazar,German natcom,Repair,Completed,Basic,Basic+,45,0,NA,120,125,2,245,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Completed,yes,Yes,Yes, ,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yse,Flood did not impact WSC,Yes,Yes,Basic,NO,0,No,2025,NA,yes,0,150000,50000,200000,500,0,150000,50000,200000, , ,,SurkhetSoSECKarnaliDailekh Dullu Urban4ShantibazarGerman natcomRepairCompletedBasicBasic+450NA1201252245YesYesYesYesYesYesYesYesCompletedyesYesYes yesYesYesYesYesYesYesYesYseFlood did not impact WSCYesYesBasicNO0No2025NAyes015000050000200000500015000050000200000 
Surkhet,SoSEC,Karnali,Dailekh ,Dullu ,Urban,12,Daha ,Thematic Fund ,Rehab,Ongoing,Basic,,80,1,NA,200,216,4,416,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Completed,yes,Yes,Yes, , ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Flood did not impact WSC,Yes,Yes,Basic,NO,0,No,2025,NA,yes,478598,1255729,604171,2338498,-,478598,1255729,604171,2338498, , ,,SurkhetSoSECKarnaliDailekh Dullu Urban12Daha Thematic Fund RehabOngoingBasic801NA2002164416YesYesYesYesYesYesYesYesCompletedyesYesYes  YesYesYesYesYesYesYesYesFlood did not impact WSCYesYesBasicNO0No2025NAyes47859812557296041712338498-47859812557296041712338498 
Surkhet,SoSEC,Karnali,Dailekh ,Dullu ,Urban,1,Dungeshwor,German natcom,Rehab,Completed,Basic,Basic+,106,1,NA,200,216,4,416,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Completed,yes,Yes,Yes, , ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Flood did not impact WSC,Yes,Yes,Basic,yes,0,Yes,2025,NA,yes,0,100000,0,100000,0,0,100000,0,100000, , ,,SurkhetSoSECKarnaliDailekh Dullu Urban1DungeshworGerman natcomRehabCompletedBasicBasic+1061NA2002164416YesYesYesYesYesYesYesYesCompletedyesYesYes  YesYesYesYesYesYesYesYesFlood did not impact WSCYesYesBasicyes0Yes2025NAyes01000000100000001000000100000 
Surkhet,SOSEC,Karnali,SURKHET,Chaukune,Rural,9,Basanta Kokila,Girls matter,New,Completed,UNIMPROVED,Basic+,55,1,NA,135,142,2,277,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Completed,yes,Yes,Yes, ,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Flood did not impact WSC,Yes,Yes,Basic,Yes,0,Yes,2025,NA,yes,0,150000,0,150000, ,0,150000,0,150000, , ,,SurkhetSOSECKarnaliSURKHETChaukuneRural9Basanta KokilaGirls matterNewCompletedUNIMPROVEDBasic+551NA1351422277YesYesYesYesYesYesYesYesCompletedyesYesYes yesYesYesYesYesYesYesYesNoFlood did not impact WSCYesYesBasicYes0Yes2025NAyes01500000150000 01500000150000 
Surkhet,Simta RM,Karnali,Surkhet,Simta,Rural,7,Dopkhola WSP ,Thematic Fund,Rehab,Ongoing,UNIMPROVED,Basic+,35,0,NA,150,162,3,312,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Completed,yes,Yes,Yes, ,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Flood did not impact WSC,Yes,Yes,Basic,NO,0,No,2025,NA,yes,500000,500000,250000,1250000,-,500000,500000,250000,1250000, , ,,SurkhetSimta RMKarnaliSurkhetSimtaRural7Dopkhola WSP Thematic FundRehabOngoingUNIMPROVEDBasic+350NA1501623312YesYesYesYesYesYesYesYesCompletedyesYesYes yesYesYesYesYesYesYesYesYesFlood did not impact WSCYesYesBasicNO0No2025NAyes5000005000002500001250000-5000005000002500001250000 
Surkhet,KIRDARC,Karnali,Jajarkot,Bheri,Urban,2,Rauteriya,MPTF,Reconstruction,Completed,UNIMPROVED,Basic+,52,1,NA,107,101,2,208,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Completed,yes,Yes,Yes, ,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Flood did not impact WSC,Yes,Yes,Basic,yes,36,Yes,2025,NA,yes,500000,3868421,246537,4614958,33,500000,3868421,246537,4614958,33, ,,SurkhetKIRDARCKarnaliJajarkotBheriUrban2RauteriyaMPTFReconstructionCompletedUNIMPROVEDBasic+521NA1071012208YesYesYesYesYesYesYesYesCompletedyesYesYes noYesYesYesYesYesYesYesNoFlood did not impact WSCYesYesBasicyes36Yes2025NAyes5000003868421246537461495832.8555000003868421246537461495832.855
